index,ObsType,Latitude,Longitude,Elevation(m),UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,SkyComment,LocationComment,Country,UTDatetime,UTTimeHour,MoonAlt,MoonAz
999,SQM,-34.9133,138.842,487.514,2019-01-29,11:30,6.0,21.22,,0,"Clear and steady, Skyglow in the west from Adelaide's streetlights","Semi-rural, on a property with orchards",Australia,2019-01-29 11:30:00,0.258819045102521,-36.06165692840048,153.01509750839287
1026,SQM,28.6683,-17.9032,522.81,2019-01-31,22:04,3.0,20.22,7102,6,Cielo bastante cubierto por nubes bajas.  Temp: 15C,Zona suburbana Los Pedregales,Spain,2019-01-31 22:04:00,-0.5000000000000004,-81.34162892445667,330.6419134023926
1029,SQM,28.6683,-17.9032,522.549,2019-01-31,22:34,4.0,21.14,7102,4,"Nubes bajas disipndose. Temp 14,5 C",Zona suburbana Los Pedregales,Spain,2019-01-31 22:34:00,-0.5000000000000004,-82.04246208927673,17.859535094571775
1049,SQM,36.1279,137.863,833.666,2019-02-01,10:26,4.0,19.75,,0,,,Japan,2019-02-01 10:26:00,0.49999999999999994,-60.83624620578186,291.8152802051041
1050,SQM,36.1808,137.86,767.543,2019-02-01,10:46,4.0,19.93,7532,0,,,Japan,2019-02-01 10:46:00,0.49999999999999994,-64.31120110579398,297.8453474785522
1052,SQM,36.2397,137.833,789.812,2019-02-01,11:21,5.0,20.3,7532,0,,,Japan,2019-02-01 11:21:00,0.258819045102521,-69.80409273825101,311.97976338107253
1054,SQM,36.2526,137.929,586.332,2019-02-01,11:45,3.0,18.88,7532,0,,,Japan,2019-02-01 11:45:00,0.258819045102521,-72.89120091711152,325.9465528578453
1055,SQM,51.1639,4.31057,4.19901,2019-01-31,12:45,5.0,18.74,0660,0,some humidity visible but no fog,"suburban, with Ne-lamps and also LED streetlamps and greenshouse with lighting during evening/night on a distance of about 600 m.",Belgium,2019-01-31 12:45:00,1.2246467991473532e-16,-0.942073650222201,236.23346011176434
1057,SQM,35.3308,134.074,278.708,2019-02-01,12:10,6.0,21.01,,0,,,Japan,2019-02-01 12:10:00,1.2246467991473532e-16,-74.59063752796517,330.67040426034345
1058,SQM,35.327,134.04,399.38,2019-02-01,12:25,6.0,21.06,,0,,,Japan,2019-02-01 12:25:00,1.2246467991473532e-16,-75.74459596574859,342.74719481855686
1066,SQM,28.6683,-17.9032,522.625,2019-02-02,22:07,3.0,21.18,7102,6,"Cielo despejado en cenit, cubierto en resto.  Temp: 16C",Zona suburbana Los Pedregales,Spain,2019-02-02 22:07:00,-0.5000000000000004,-64.23568328945923,280.3863860902642
1075,SQM,28.6683,-17.9032,522.921,2019-02-02,01:19,3.0,21.49,7102,4,Cielo despejadoal norte y cenit cubierto en resto.  Temp: 15C,Zona suburbana Los Pedregales,Spain,2019-02-02 01:19:00,0.25881904510252074,-61.93316062044334,82.52915897416263
1085,SQM,28.6683,-17.9032,522.566,2019-02-02,03:11,3.0,21.33,7102,4,Nubes dispersas. Temp 15C,Zona suburbana Los Pedregales,Spain,2019-02-02 03:11:00,0.7071067811865475,-38.51343342547736,96.04982800125534
1090,SQM,42.6318,-98.6943,576.781,2019-02-02,03:45,6.0,21.62,,0,"Sky seemed clear, but wide field time exposure photos showed some thin clouds.  South wind gusts to about 20mph.",Observatory grounds - only 1 small incandescent light about 1/4 mile away behind trees.  No other lights visible from sight.  O'Neill Nebraska (population 3700) is 15 miles South.  Spencer Nebraska about 15 miles North (pop. 455).,United States - Nebraska,2019-02-02 03:45:00,0.7071067811865475,-65.8572797449284,324.71144475188186
1096,SQM,21.9192,120.844,68.4139,2019-02-02,11:54,4.0,20.07,,2,,,Taiwan,2019-02-02 11:54:00,0.258819045102521,-56.03805651107112,263.6882741239044
1099,SQM,-30.5046,151.668,1023.02,2019-02-02,12:53,5.0,21.84,,0,"Clear, town centre 1 km to south","rural/suburban, some nearby trees, and mixture of nearby street lights HPS and LED 4000K, one nearby window light directly impinging",Australia,2019-02-02 12:53:00,1.2246467991473532e-16,-38.230715105914804,170.70656993354427
1114,SQM,50.4185,-5.04391,57.464,2019-02-02,22:41,3.0,18.52,,2,,Edge of town,United Kingdom,2019-02-02 22:41:00,-0.5000000000000004,-60.694320413195754,347.47430495850807
1119,SQM,28.6683,-17.9032,522.703,2019-02-02,23:54,4.0,21.67,7102,0,Cielo limpio. Temp 14C,Zona suburbana Los Pedregales,Spain,2019-02-02 23:54:00,-0.2588190451025215,-82.35916906521953,347.250404908605
1127,SQM,28.6683,-17.9032,522.43,2019-02-03,02:06,4.0,21.72,7102,0,Cielo limpio. Temp 13.5C,Zona suburbana Los Pedregales,Spain,2019-02-03 02:06:00,0.49999999999999994,-62.14119399524995,81.12109360011985
1165,SQM,28.6683,-17.9032,522.724,2019-02-03,21:11,4.0,21.21,7102,0,Orin en cenit.  Temp 16C,Zona suburbana Los Pedregales,Spain,2019-02-03 21:11:00,-0.7071067811865477,-42.04216894393105,267.9854860404988
1174,SQM,28.6683,-17.9032,522.516,2019-02-03,22:41,4.0,21.34,7102,0,Orin en cenit.  Temp 15C,Zona suburbana Los Pedregales,Spain,2019-02-03 22:41:00,-0.5000000000000004,-60.807216013938735,280.43634056768286
1190,SQM,18.3601,-66.116,20.0,2019-02-04,00:53,4.0,18.36,66.1,6,There is no haze but there are a lot of dense clouds.,Urban location with a lot of street post and there are not many trees.,Puerto Rico,2019-02-04 00:53:00,0.0,-45.95341416779116,260.36686090637585
1198,SQM,28.6683,-17.9032,522.566,2019-02-04,01:54,4.0,21.72,7102,0,0rion 60 grados sobre oeste. Temp 14C,Zona suburbana Los Pedregales,Spain,2019-02-04 01:54:00,0.25881904510252074,-73.3646073878125,60.71614436904903
1205,SQM,38.6089,-90.3598,148.036,2019-02-04,03:08,4.0,18.1,0766,0,,,United States - Missouri,2019-02-04 03:08:00,0.7071067811865475,-51.88450424626414,288.44742396433645
1226,SQM,-30.5042,151.667,1024.8,2019-02-04,12:21,5.0,21.9,,0,"Clear, but milky way overhead","Suburban/rural, some nearby streetlights a mixture of LED 3000K and HPS.  Some nearby trees and most nearby house lights extinguished.",Australia,2019-02-04 12:21:00,1.2246467991473532e-16,-36.82776513159425,207.30821415081707
1232,SQM,53.229,-4.51976,16.2448,2019-02-04,15:51,6.0,21.57,,0,,"Rural and coastal, no moon, very cold.",United Kingdom,2019-02-04 15:51:00,-0.7071067811865471,4.925692402125645,228.45935365644013
1253,SQM,28.6683,-17.9032,522.688,2019-02-04,22:23,3.0,21.03,7102,0,Calima. Temp 16C,Zona suburbana Los Pedregales,Spain,2019-02-04 22:23:00,-0.5000000000000004,-46.49224314063235,273.9343240562337
1264,SQM,28.6683,-17.9032,522.921,2019-02-05,00:39,2.0,21.06,7102,0,Calima en aumento  . Temp 19C,Zona suburbana Los Pedregales,Spain,2019-02-05 00:39:00,0.0,-73.25690890059302,308.7121224723827
1279,SQM,32.009,-102.165,867.729,2019-02-05,03:32,4.0,19.57,,0,,,United States - Texas,2019-02-05 03:32:00,0.7071067811865475,-38.05269545685627,272.43419552395443
1284,SQM,35.5134,137.877,419.554,2019-02-04,18:07,6.0,20.09,06Fa,0,,,Japan,2019-02-04 18:07:00,-1.0,-45.69889918557066,79.84280076220425
1287,SQM,35.4466,137.885,784.849,2019-01-16,18:10,6.0,21.37,06Fa,0,,,Japan,2019-01-16 18:10:00,-1.0,-8.939779691072099,294.58919257183817
1294,SQM,-30.5043,151.667,1026.19,2019-02-05,11:08,5.0,21.8,,0,"Clear, no cloud, windy and a fair bit of twinkle in starlight so upper atmosphere a bit unsteady.","Suburban/rural, nearby streetlights a mixture of 3000K LED and HPS, some nearby trees, most nearby house lights extinguished.",Australia,2019-02-05 11:08:00,0.258819045102521,-22.57804992125385,234.39061458040996
1297,SQM,36.2582,138.136,1098.57,2019-02-05,10:37,4.0,20.63,0845,0,Horizon (mountain ridge in the north) is slightly bright due to the city light of Ueda-city,"A gateway to Utsukushigahara. In winter season, end of the snow cleared road.  Enough parking lot. There is no street lights around.",Japan,2019-02-05 10:37:00,0.49999999999999994,-23.965213065001493,266.4120289210909
1298,SQM,28.7705,-17.9331,1320.91,2019-02-03,00:50,6.0,21.5,0696,0,,,Spain,2019-02-03 00:50:00,0.0,-77.10422185932421,56.50792029181116
1299,SQM,28.7705,-17.9331,1320.91,2019-01-05,23:00,6.0,21.6,069F,0,,,Spain,2019-01-05 23:00:00,-0.2588190451025215,-59.86627421320336,276.083275597077
1300,SQM,28.7705,-17.9331,1320.91,2019-01-05,01:00,6.0,21.5,069F,0,,,Spain,2019-01-05 01:00:00,0.25881904510252074,-79.68444528731935,46.14885380191931
1327,SQM,28.6683,-17.9032,522.703,2019-02-05,22:19,2.0,21.03,7102,0,"Calima. Temp: 15,5C",Zona suburbana Los Pedregales,Spain,2019-02-05 22:19:00,-0.5000000000000004,-34.96678396769452,271.2989576532282
1336,SQM,28.6683,-17.9032,522.516,2019-02-06,00:08,3.0,21.41,7102,0,Calima al suroeste. Temp 15C,Zona suburbana Los Pedregales,Spain,2019-02-06 00:08:00,0.0,-57.42166982609417,288.6195566441267
1400,SQM,47.6101,20.728,91.5838,2019-02-06,19:40,5.0,21.2,4772,0,,3. sk adatom (no.3. data),Hungary,2019-02-06 19:40:00,-0.9659258262890684,-23.27158421371565,277.51444877684844
1407,SQM,46.2478,7.02684,443.406,2019-02-06,04:30,5.0,20.85,8783,0,,,Switzerland,2019-02-06 04:30:00,0.8660254037844386,-33.83979947006466,74.43087116587012
1408,SQM,35.5133,137.877,419.902,2019-02-04,12:00,6.0,20.09,06Fa,0,,,Japan,2019-02-04 12:00:00,1.2246467991473532e-16,-50.026101169243645,283.2772534484382
1416,SQM,28.6683,-17.9032,522.757,2019-02-06,22:05,4.0,21.41,7102,0,Luces de ciudad al suroeste. Temp 17C,Zona suburbana Los Pedregales,Spain,2019-02-06 22:05:00,-0.5000000000000004,-21.255575780060013,268.1398280922242
1417,SQM,28.6683,-17.9032,522.688,2019-02-06,22:12,4.0,21.1,7102,0,SQM orientado hacia Orin a 60 grados oeste. Luces de ciudad al suroeste. Temp 17C,Zona suburbana Los Pedregales,Spain,2019-02-06 22:12:00,-0.5000000000000004,-22.72900052748053,268.9579721109592
1426,SQM,28.6683,-17.9033,521.186,2019-02-07,01:20,3.0,20.96,7102,0,SQM orientado hacia Orin a 30 grados oeste. Luces de ciudad al suroeste. Temp 17C,Zona suburbana Los Pedregales,Spain,2019-02-07 01:20:00,0.25881904510252074,-60.65240193641784,302.0208176025841
1428,SQM,42.3182,-72.6373,57.1141,2019-02-06,01:35,4.0,18.76,,0,"clear night, light haze on horizon","urban college campus, on side of building away from outdoor lighting",United States - Massachusetts,2019-02-06 01:35:00,0.25881904510252074,-28.06377284312005,275.46970464197227
1451,SQM,28.6683,-17.9032,522.447,2019-02-07,20:32,2.0,20.74,7102,0,"Orin en cenit-sur 75 grados sobre horizonte. Luces de ciudad muy visibles. Temp 17,5C",Zona suburbana Los Pedregales. Luces de estadio encendidas.,Spain,2019-02-07 20:32:00,-0.8660254037844386,9.036245043191535,255.7365109662146
1458,SQM,28.6683,-17.9032,522.292,2019-02-07,21:36,4.0,21.0,7102,0,"Orin 75 grados sobre horizonte oeste. Luces de ciudad atenuadas Temp 16,5C",Zona suburbana Los Pedregales.,Spain,2019-02-07 21:36:00,-0.7071067811865477,-4.289090194048353,263.5304275109525
1463,SQM,28.6683,-17.9032,522.602,2019-02-07,23:49,4.0,21.11,7102,0,Orin 45 grados sobre horizonte oeste. Temp 15C,Zona suburbana Los Pedregales,Spain,2019-02-07 23:49:00,-0.2588190451025215,-32.20733110304642,279.9902426213993
1480,SQM,28.6635,-17.9031,436.458,2019-02-08,23:47,4.0,21.15,7102,0,"Orin 40 grados horizonte oeste.  Temp 14,5",Zona suburbana Los Pedregales,Spain,2019-02-08 23:47:00,-0.2588190451025215,-20.889091123497824,278.2697616120468
1485,SQM,33.4277,-112.4,293.861,2019-02-09,19:41,4.0,17.62,,4,North/East,Urban location with two street lights. Pouch light on.,United States - Arizona,2019-02-09 19:41:00,-0.9659258262890684,29.990085212997915,111.56112428628748
1486,SQM,28.6683,-17.9032,522.447,2019-02-09,18:57,3.0,20.35,7102,0,Orin 70 grados horizonte este. Luna creciente horizonte oeste. Temp 20C,Zona suburbana Los Pedregales,Spain,2019-02-09 18:57:00,-1.0,48.9997941285763,232.104869826548
1491,SQM,28.6683,-17.9032,522.566,2019-02-09,21:48,4.0,21.03,7102,0,Orin 75 grados horizonte oeste.  Luna 15 grados horizonte oeste.  Temp 18C,Zona suburbana Los Pedregales,Spain,2019-02-09 21:48:00,-0.7071067811865477,15.316512027849472,262.5993863972141
1499,SQM,28.6683,-17.9032,521.212,2019-02-10,00:16,3.0,21.18,7102,0,"Orin 30 grados sobre horizonte oeste. Sin luna. Temp 17,5",Zona suburbana Los Pedregales,Spain,2019-02-10 00:16:00,0.0,-15.84849828146158,280.6892908213704
1508,SQM,28.6683,-17.9032,522.43,2019-02-10,20:50,3.0,20.54,7102,0,Algunas nubes altas transparentes. Orin 80 grados horizonte suroeste. Luna creciente 40 grados oeste. Temp 19 C,Zona suburbana Los Pedregales,Spain,2019-02-10 20:50:00,-0.8660254037844386,38.702311701027334,252.39972791264927
1522,SQM,28.6683,-17.9032,522.757,2019-02-11,01:49,6.0,20.84,7102,0,"Calima en capas baja. Orin 30 grados horizonte. Luna creciente bajo horizonte Temp 20,5 C",Zona suburbana Los Pedregales. Luces de ciudad atenuadas,Spain,2019-02-11 01:49:00,0.25881904510252074,-23.418410000518193,291.7059443834619
1523,SQM,-26.8845,151.597,1014.03,2019-02-09,13:30,7.0,21.83,067F,0,Slight haze to East and South,Mountain national park,Australia,2019-02-09 13:30:00,-0.2588190451025208,-27.977416447208686,254.78715542644719
1531,SQM,51.9207,-8.40631,70.7959,2019-02-09,21:40,3.0,16.79,,6,completely overcast,,Ireland,2019-02-09 21:40:00,-0.7071067811865477,6.462441508451029,262.8517069002227
1532,SQM,51.9213,-8.40714,76.2478,2019-02-10,20:00,5.0,19.42,,0,"mostly clear,  < 10% cloud",,Ireland,2019-02-10 20:00:00,-0.8660254037844386,29.843500623202004,235.02441518704086
1533,SQM,51.9207,-8.40631,70.7959,2019-02-10,20:00,5.0,19.42,,0,"mostly clear,  < 10% cloud",,Ireland,2019-02-10 20:00:00,-0.8660254037844386,29.843424483410818,235.02553365554832
1534,SQM,28.6683,-17.9032,522.688,2019-02-11,19:48,3.0,19.72,7102,2,Orin 85 grados sobre horizonte sur. Luna creciente 75 grados horizonte oeste. Temp 23C,Zona suburbana Los Pedregales,Spain,2019-02-11 19:48:00,-0.9659258262890684,61.75712832443968,231.753986792511
1535,SQM,42.3182,-72.6373,57.1141,2019-02-06,02:55,3.0,19.46,,0,The wind was blowing NW at 3 miles per hour with a mostly clear sky. The cloud cover was at 10%.,Location of Smith college outside of the crew house on the side walk. There was some campus lighting and street lights as well as an overall sky glow from the lights in Northampton.,United States - Massachusetts,2019-02-06 02:55:00,0.49999999999999994,-41.75794141394097,291.0071974063936
